asin,units_30d,CES,Ensemble,LSTM,LightGBM,MA7,NGBoost,NHITS,PatchTST,SeasonalNaive,XGBoost
B08WTSTJK9,72,29.602604441344738,43.07563178990868,26.90139452,57.531464821829445,38.57142857142858,57.787451037354295,49.6678689,39.09605533,37.0,40.942583322525024
B08WTTKSKX,145,116.5498673573602,113.73328196684318,80.7099661,123.6184029162259,111.4285714285714,117.95386605859377,94.5765262,155.78839870000002,112.0,106.93594622612
B08WTTY37S,63,38.98674635589123,46.38578883872553,39.30217668,57.30470801367136,51.42857142857142,57.55263941475848,42.6932006,48.5112145,52.0,40.349835991859436
B08WTXD7ZF,56,70.38635602593422,70.2525309797845,34.23548501,84.67781436518003,85.71428571428572,91.34520083959248,61.3484493,90.8525805,91.0,58.92183029651642
B08WTYGVL5,141,143.89404080808163,144.1073345197411,75.11907913,156.74511057223765,137.14285714285714,143.54465497668716,165.5484825,189.3216944,137.0,134.57827806472778
B08WTZRG59,3,0.6573504987172778,10.664726726040422,17.2127242,28.77539545126579,0.0,7.7588881862330314,3.5812630786,9.951872784999999,0.0,6.715592846274375
B08WV3DW85,383,91.52117538452148,154.99409016385343,124.2333371,209.16442924748935,171.42857142857144,210.11578970046426,164.473165,130.1735949,187.0,155.27714157104492
B08YQJYDV1,5,3.914145596325397,8.171374381132518,8.41274857,26.86751719688876,0.0,7.934134068666027,0.1976820233,4.159878636,0.0,5.71351459622383
B08YRC7LGQ,38,38.550544422119856,44.35212441350458,21.26513945,56.69333843749073,25.71428571428571,56.93990933867056,31.43529415,66.6789606,25.0,38.901684403419495
B0959JT4PV,30,93.47213444113731,1056.029998358177,223.3809784,881.6076781520015,1294.2857142857144,2316.8977368729616,818.905109,93.4661109,1508.0,2964.4802408218384
B096HCR6YC,66,59.346810042858124,64.44928909452805,38.72792985,82.25208185196053,72.85714285714285,90.99105379684983,46.8443549,78.1373411,75.0,54.84545278549194
B09B1C7S6Z,24,12.651163971298956,19.175602653535904,13.28529642,33.10695471758728,12.857142857142854,28.36027634398544,12.75740667,23.83774899,12.0,10.23037138581276
B09B1DG795,35,20.116905839182436,21.713072879007665,18.23396407,33.2142848613418,17.142857142857142,28.402114113216857,20.15670211,22.05520086,18.0,9.81233824789524
